Creditor_Name ,Invoice Line Amount,Payment_Date,LA Department,Expenditure Category/Description
NEXT STEP FOSTERING SERVICES LTD,"£3,613.67", 27/07/2018,Childrens Services,Agency Placements
HYTHE HOUSE SUPPORT LIMITED,"£3,969.46", 27/07/2018,Childrens Services,Agency Placements
SANCTUARY CARE LTD,"£3,037.88", 27/07/2018,Health and Adult Services,Private Sector Nursing Homes
NEXT STEP FOSTERING SERVICES LTD,"£5,704.00", 27/07/2018,Childrens Services,Agency Placements
NEXT STEP FOSTERING SERVICES LTD,"£3,804.01", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,436.97", 27/07/2018,Childrens Services,Agency Placements
FOUR SEASONS HEALTH CARE LTD (CEDAR COURT),"£2,441.03", 27/07/2018,Health and Adult Services,Services Private Contractor
SYNERGY FOSTERING LIMITED,"£3,441.00", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,751.62", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,751.62", 27/07/2018,Childrens Services,Agency Placements
SYNERGY FOSTERING LIMITED,"£3,449.99", 27/07/2018,Childrens Services,Agency Placements
SYNERGY FOSTERING LIMITED,"£3,487.50", 27/07/2018,Childrens Services,Agency Placements
FOUR SEASONS HEALTH CARE LTD (CEDAR COURT),"£2,487.09", 27/07/2018,Health and Adult Services,Services Private Contractor
SANCTUARY CARE LTD,"£2,715.20", 27/07/2018,Health and Adult Services,Private Sector Nursing Homes
SANCTUARY CARE LTD,"£3,129.60", 27/07/2018,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"£5,627.74", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,782.35", 27/07/2018,Childrens Services,Agency Placements
SANCTUARY CARE LTD,"£3,134.08", 27/07/2018,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"£3,616.15", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,782.35", 27/07/2018,Childrens Services,Agency Placements
SANCTUARY CARE LTD,"£3,221.92", 27/07/2018,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"£3,593.25", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,751.62", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,593.25", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,751.62", 27/07/2018,Childrens Services,Agency Placements
SANCTUARY CARE LTD,"£3,037.88", 27/07/2018,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"£18,400.71", 27/07/2018,Childrens Services,Agency Placements
SANCTUARY CARE LTD,"£2,684.44", 27/07/2018,Health and Adult Services,Private Sector Nursing Homes
FOUR SEASONS HEALTH CARE LTD (CEDAR COURT),"£2,394.97", 27/07/2018,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,"£3,268.02", 27/07/2018,Childrens Services,Agency Placements
SANCTUARY CARE LTD,"£3,134.08", 27/07/2018,Health and Adult Services,Private Sector Nursing Homes
SUPPORTED FOSTERING SERVICES,"£5,159.95", 27/07/2018,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"£5,159.95", 27/07/2018,Childrens Services,Agency Placements
SANCTUARY CARE LTD,"£3,266.64", 27/07/2018,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"£5,314.29", 27/07/2018,Childrens Services,Agency Placements
SANCTUARY CARE LTD,"£2,247.84", 27/07/2018,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,"£3,268.02", 27/07/2018,Childrens Services,Agency Placements
FOUR SEASONS HEALTH CARE LTD (CEDAR COURT),"£2,590.71", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£4,671.20", 27/07/2018,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"£3,440.07", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£5,443.29", 27/07/2018,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,"£3,440.07", 27/07/2018,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"£3,440.07", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£1,466.61", 27/07/2018,Health and Adult Services,Supported Living
SUPPORTED FOSTERING SERVICES,"£3,268.02", 27/07/2018,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"£3,268.02", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£1,466.61", 27/07/2018,Health and Adult Services,Supported Living
SUPPORTED FOSTERING SERVICES,"£4,300.01", 27/07/2018,Childrens Services,Agency Placements
SUPPORTED FOSTERING SERVICES,"£5,056.72", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£5,364.55", 27/07/2018,Health and Adult Services,Services Private Contractor
SUPPORTED FOSTERING SERVICES,"£5,056.72", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£4,560.41", 27/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (CEDAR COURT),"£2,394.97", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£4,737.42", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£4,207.14", 27/07/2018,Health and Adult Services,Services Private Contractor
ISP CENTRAL OFFICE,"£5,748.33", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£2,845.80", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,£946.87, 27/07/2018,Health and Adult Services,Voluntary Bodies Other Care
ISP CENTRAL OFFICE,"£5,403.30", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£5,213.00", 27/07/2018,Health and Adult Services,Services Private Contractor
ISP CENTRAL OFFICE,"£5,403.30", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£2,488.68", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£2,488.68", 27/07/2018,Health and Adult Services,Services Private Contractor
ISP CENTRAL OFFICE,"£5,403.30", 27/07/2018,Childrens Services,Agency Placements
ISP CENTRAL OFFICE,"£5,748.33", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£2,586.25", 27/07/2018,Health and Adult Services,Services Private Contractor
ISP CENTRAL OFFICE,"£5,748.33", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£2,025.25", 27/07/2018,Health and Adult Services,Services Private Contractor
ISP CENTRAL OFFICE,"£5,748.33", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£10,225.75", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£13,245.90", 27/07/2018,Health and Adult Services,Services Private Contractor
ISP CENTRAL OFFICE,"£5,748.33", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,985.71", 27/07/2018,Health and Adult Services,Services Private Contractor
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£12,178.58", 27/07/2018,Health and Adult Services,Services Private Contractor
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.14", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£3,217.49", 27/07/2018,Health and Adult Services,Services Private Contractor
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£14,000.00", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£3,633.03", 27/07/2018,Health and Adult Services,Services Private Contractor
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"£14,835.67", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,306.77", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 27/07/2018,Childrens Services,Agency Placements
SANCTUARY CARE LTD,"£3,600.00", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£29,385.72", 27/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,236.43", 27/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,153.70", 27/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,425.44", 27/07/2018,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"£2,192.14", 27/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,334.61", 27/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,236.43", 27/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,488.68", 27/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,258.57", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£2,450.78", 27/07/2018,Health and Adult Services,Supported Living
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,302.86", 27/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,153.70", 27/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,334.61", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,£800.00, 27/07/2018,Childrens Services,Other Agency Services
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,334.61", 27/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,£847.00, 27/07/2018,Childrens Services,Other Agency Services
ERITH CONTRACTORS LTD,"£117,910.51", 27/07/2018,Housing Services HRA,Services Private Contractor
P & R INSTALLATION CO LTD,"£121,028.80", 27/07/2018,Housing Services HRA,Services Private Contractor
SILK AND MACKMAN SERVICES LIMITED,"£1,511.44", 27/07/2018,Capital Housing Revenue Acc,Refurbishment
P & R INSTALLATION CO LTD,"£25,875.34", 27/07/2018,Housing Services HRA,Services Private Contractor
P & R INSTALLATION CO LTD,"£63,327.78", 27/07/2018,Housing Services HRA,Services Private Contractor
LONDON CARE LTD,£842.60, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£646.38, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£3,016.44", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,031.40", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£584.82, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£969.57, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£734.87, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£615.60, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£2,123.82", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£554.04, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,669.82", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£3,016.44", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,092.69", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£692.55, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,508.22", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£507.87, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£642.53, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,059.60", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,077.30", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£596.36, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,231.20", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£769.50, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£900.32, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£538.65, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,342.78", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£861.84, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£831.06, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£846.45, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£661.77, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£578.66, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£700.25, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£677.16, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£2,154.60", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£788.74, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£654.08, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,939.14", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,084.48", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£2,016.09", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£969.57, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£584.82, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,100.39", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£861.84, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£523.26, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£561.74, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£630.99, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£954.18, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£538.65, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£846.45, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,138.86", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,108.59", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,069.61", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£2,577.83", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£669.47, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£957.77, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£646.38, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£923.40, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£646.38, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,077.50", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£2,554.74", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,088.84", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£759.50, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,077.30", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,292.76", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£746.42, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,269.68", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£2,154.60", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£2,677.86", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£2,431.62", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,046.52", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£800.28, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£969.57, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£538.65, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£2,570.13", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£538.65, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£769.50, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£592.52, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,939.14", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£515.57, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£731.03, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,569.78", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£754.11, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£538.65, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£677.16, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£769.50, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£746.42, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£792.59, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£846.45, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£615.60, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£577.13, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,396.64", 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£900.32, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£538.65, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£923.40, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£677.16, 27/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£969.57, 27/07/2018,Health and Adult Services,Greenwich Home Support
THE APPROPRIATE ADULT SERVICE LIMITED,£792.00, 30/07/2018,Childrens Services,Appropriate Adults Commi
THE APPROPRIATE ADULT SERVICE LIMITED,"£2,232.00", 30/07/2018,Health and Adult Services,Other Grants
ANDREW SHAW,"£4,446.00", 30/07/2018,Chief Executives,Professional Fees
SHEILA PHIL-EBOSIE,"£2,610.00", 30/07/2018,Chief Executives,Professional Fees
2 DOCTOR JOHNSON`S TENANT ACCOUNT,"£1,380.00", 30/07/2018,Chief Executives,Professional Fees
JONATHAN EPPS,£600.00, 30/07/2018,Childrens Services,Materials Staff Training
REDACTED PERSONAL INFORMATION,£30.00, 30/07/2018,Childrens Services,Professional Fees
REDACTED PERSONAL INFORMATION,£468.00, 30/07/2018,Childrens Services,Professional Fees
REDACTED PERSONAL INFORMATION,£18.06, 30/07/2018,Childrens Services,Travel Expenses
REDACTED PERSONAL INFORMATION,£26.00, 30/07/2018,Childrens Services,Catering
FIRST STEP TRUST,"£30,000.00", 30/07/2018,Health and Adult Services,Printing
FIRST STEP TRUST,"-£25,000.00", 30/07/2018,Health and Adult Services,Printing
GREENWICH SERVICE PLUS LIMITED,"£1,763.64", 30/07/2018,Comm Safety and Environment,Postage - Royal Mail
GREENWICH SERVICE PLUS LIMITED,"£1,763.64", 30/07/2018,Comm Safety and Environment,Postage - Royal Mail
GREENWICH SERVICE PLUS LIMITED,"£1,205.82", 30/07/2018,Chief Executives,Services Other Local Author
NOWMEDICAL,"£1,446.00", 30/07/2018,Housing Services HRA,Professional Fees
JBW GROUP LIMITED,"£4,753.91", 30/07/2018,Regeneration Enterprise and Sk,Services Private Contractor
JBW GROUP LIMITED,"-£3,961.59", 30/07/2018,Regeneration Enterprise and Sk,Services Private Contractor
BONDCARE LONDON LTD,"£2,487.43", 30/07/2018,Health and Adult Services,Block Contracts
BONDCARE LONDON LTD,"£7,130.44", 30/07/2018,Health and Adult Services,Block Contracts
BONDCARE LONDON LTD,"£1,380.09", 30/07/2018,Health and Adult Services,Block Contracts
BONDCARE LONDON LTD,"£12,851.71", 30/07/2018,Health and Adult Services,Block Contracts
CMG1 LIMITED,£780.36, 30/07/2018,Health and Adult Services,BIA`s (Best Interest Assessment)
LONDON PROPERTY ONLINE LTD,"£9,894.00", 30/07/2018,Housing Services,Rents Other
UK PROPERTY LET LTD,"£11,479.50", 30/07/2018,Housing Services,Rents Other
CROWN HOUSING LTD,"£11,125.20", 30/07/2018,Housing Services,Rents Other
ZFA LIMITED,"£4,428.00", 30/07/2018,Housing Services,Rents Other
1ST STEPS HOUSING KENT,"£14,471.50", 30/07/2018,Housing Services,Rents Other
LAWSON VILLAS LTD,"£1,680.00", 30/07/2018,Housing Services,Rents Other
THAMES GATEWAY PROPERTIES LTD,£531.00, 30/07/2018,Housing Services,Rents Other
THAMES GATEWAY PROPERTIES LTD,£930.00, 30/07/2018,Housing Services,Rents Other
KENT COUNTY COUNCIL,£573.24, 30/07/2018,Comm Safety and Environment,Services Other Local Author
HOMEBRIDGE HOUSING LIMITED,"£1,050.00", 30/07/2018,Housing Services,Rents Other
HOMESOLVE PROPERTY MANAGEMENT,"£5,625.00", 30/07/2018,Housing Services,Rents Other
REDACTED PERSONAL INFORMATION,"£8,527.55", 30/07/2018,Childrens Services,Services by External Providers
CASTLE WATER LIMITED,"£16,721.64", 30/07/2018,Comm Safety and Environment,Water
HSBC INVOICE FINANCE (UK) LTD,£600.00, 30/07/2018,Chief Executives,Other Services
CORPORATE ASSET SOLUTIONS LTD,£835.20, 30/07/2018,Housing Services HRA,Equipment
THE LONDON APPRENTICESHIP COMPANY,"£17,480.86", 30/07/2018,Regeneration Enterprise and Sk,Apprentice Costs
MUMSAID MATERNAL MENTAL HEALTH SUPPORT CIC,£970.00, 30/07/2018,Childrens Services,YOS Group Work
GREENWICH SERVICE PLUS LIMITED,"£1,739.70", 30/07/2018,Childrens Services,Cleaning Services - Contract
GREENWICH SERVICE PLUS LIMITED,"£2,995.04", 30/07/2018,Childrens Services,Cleaning Services - Contract
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,153.70", 30/07/2018,Health and Adult Services,Services Private Contractor
REGARD PARTNERSHIP LTD,"£4,977.67", 30/07/2018,Health and Adult Services,Supported Living
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,302.86", 30/07/2018,Health and Adult Services,Services Private Contractor
REGARD PARTNERSHIP LTD,"£4,716.87", 30/07/2018,Health and Adult Services,Supported Living
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,302.86", 30/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,311.45", 30/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£9,920.00", 30/07/2018,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,£557.16, 30/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£5,757.32", 30/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,052.78", 30/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£5,571.60", 30/07/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"£5,757.32", 30/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,036.43", 30/07/2018,Health and Adult Services,Services Private Contractor
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,425.44", 30/07/2018,Health and Adult Services,Private Sector Nursing Homes
FOUR SEASONS HEALTH CARE LTD (MARLBOROUGH COURT),"£2,337.49", 30/07/2018,Health and Adult Services,Private Sector Nursing Homes
ANGELS ABODE LIMITED,"£1,085.00", 30/07/2018,Health and Adult Services,Rents Other
ANGELS ABODE LIMITED,"£1,860.00", 30/07/2018,Health and Adult Services,Rents Other
ANGELS ABODE LIMITED,"£1,860.00", 30/07/2018,Health and Adult Services,Rents Other
ANGELS ABODE LIMITED,"£1,085.00", 30/07/2018,Health and Adult Services,Rents Other
ANGELS ABODE LIMITED,"£2,015.00", 30/07/2018,Health and Adult Services,Rents Other
ANGELS ABODE LIMITED,"£1,085.00", 30/07/2018,Health and Adult Services,Rents Other
ANGELS ABODE LIMITED,"£1,085.00", 30/07/2018,Health and Adult Services,Rents Other
