Creditor_Name ,Invoice Line Amount,Payment_Date,LA Department,Expenditure Category/Description
REDACTED PERSONAL INFORMATION,"£1,747.72", 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,790.34", 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,206.40", 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£501.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,355.60", 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,510.40", 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£501.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£589.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£589.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£589.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£501.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£541.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,"£2,356.80", 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£501.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£501.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£639.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£501.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£513.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,000.00", 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,678.08", 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£677.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,£501.20, 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,054.40", 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,393.52", 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£500.78, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,098.44", 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£955.79, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£727.12, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£500.20, 05/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,077.28", 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,222.44", 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£500.78, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,505.48", 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£862.80, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,372.36", 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£534.91, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£862.80, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£862.80, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£625.88, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£929.60, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£504.00, 10/10/2018,Residence Orders - Section 8 Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,086.24", 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,617.20", 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£582.40, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£533.20, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"£4,385.60", 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£772.40, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£945.20, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,329.97", 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£517.20, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,725.24", 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,438.25", 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,195.56", 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£620.02, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£792.20, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£577.20, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£962.40, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,561.84", 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,282.96", 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£620.56, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£962.40, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£744.40, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£707.30, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,260.00", 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£505.20, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,£730.80, 10/10/2018,Adoption Allowances,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,909.47", 10/10/2018,Special Guardianship Orders - Section 14,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,320.20", 10/10/2018,Transport For Children,Childrens Services
REDACTED PERSONAL INFORMATION,"£2,163.80", 10/10/2018,Children Looked After,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,502.40", 10/10/2018,Other Agency Services,Childrens Services
REDACTED PERSONAL INFORMATION,£840.00, 10/10/2018,Other Agency Services,Childrens Services
REDACTED PERSONAL INFORMATION,£840.00, 10/10/2018,Other Agency Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,815.80", 10/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£8,451.30", 10/10/2018,Agency Placements,Childrens Services
RAINBOW FOSTERING SERVICES LIMITED,"£3,268.80", 10/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£2,877.37", 10/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,750.00", 10/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£16,500.00", 10/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£22,285.71", 10/10/2018,Agency Placements,Childrens Services
THE NATIONAL FOSTERING AGENCY LTD,"£3,342.90", 10/10/2018,Agency Placements,Childrens Services
THE NATIONAL FOSTERING AGENCY LTD,"£3,342.90", 10/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,764.33", 10/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,575.00", 10/10/2018,Private Home Help Domestic,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,850.00", 10/10/2018,Private Home Help Domestic,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,403.50", 10/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,403.50", 10/10/2018,Agency Placements,Childrens Services
PRIORY HEALTHCARE LTD,"£6,034.00", 11/10/2018,Vehicle Hire External Hired,Childrens Services
CLEAPSS,"£3,253.10", 11/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,339.00", 11/10/2018,Services by External Providers,Childrens Services
CHARITEENS RESIDENTIAL FAMILY CENTRE CIC,"£14,835.71", 05/10/2018,Agency Placements,Childrens Services
FOOTSTEPS CARE LIMITED,£884.17, 11/10/2018,Vehicle Hire External Hired,Childrens Services
FOOTSTEPS CARE LIMITED,£884.17, 11/10/2018,Vehicle Hire External Hired,Childrens Services
REDACTED PERSONAL INFORMATION,£900.00, 11/10/2018,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,400.00", 11/10/2018,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,400.00", 11/10/2018,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,400.00", 11/10/2018,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"£4,680.00", 11/10/2018,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"£2,520.00", 11/10/2018,Services by External Providers,Childrens Services
REDACTED PERSONAL INFORMATION,"£4,860.00", 11/10/2018,Services by External Providers,Childrens Services
AMBER CAR SERVICES LTD,"£2,145.60", 11/10/2018,Vehicle Hire External Hired,Childrens Services
LEARN SOLUTIONS LTD T/A TLC EDUCATION GRP TLC LIVE,£547.20, 11/10/2018,MIsc,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,991.05", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,998.62", 10/10/2018,Other Services,Childrens Services
ALPHA NURSERY (GREENWICH) LIMITED,"£2,799.45", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£2,850.75", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£7,931.77", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,999.12", 10/10/2018,Other Services,Childrens Services
ASQUITH NURSERIES LTD,"£1,383.68", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£7,982.10", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£17,729.85", 10/10/2018,Other Services,Childrens Services
BUBBLES NURSERIES LIMITED,"£11,197.80", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£2,040.30", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,704.02", 10/10/2018,Other Services,Childrens Services
BUSY BEES CHARLTON,"£3,875.68", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£4,199.17", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,420.90", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£7,931.78", 10/10/2018,Other Services,Childrens Services
CRAFTY WIZARDS WORLD LIMITED,"£1,866.30", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,701.50", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,598.90", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£9,692.55", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£13,064.10", 10/10/2018,Other Services,Childrens Services
FIRST STEP DAYCARE & NURSERY LTD,"£6,998.63", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,732.60", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,£933.15, 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£16,344.30", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£11,689.58", 10/10/2018,Other Services,Childrens Services
GREENWICH LEISURE LIMITED,"£1,244.20", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£7,982.10", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,£933.15, 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£4,561.20", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£4,395.57", 10/10/2018,Other Services,Childrens Services
HOME-START GREENWICH PLUMSTEAD NURSERY,"£1,105.11", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,841.80", 10/10/2018,Other Services,Childrens Services
LITTLE ELMS DAYCARE NURSERY PENINSULA LTD,"£1,866.30", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,998.62", 10/10/2018,Other Services,Childrens Services
LITTLE LEARNING ACADEMY LTD,"£4,665.74", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£2,660.70", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£7,465.20", 10/10/2018,Other Services,Childrens Services
LOLLIPOPS COMPLETE CARE LTD,"£6,532.05", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,866.30", 10/10/2018,Other Services,Childrens Services
MIDCOUNTIES CO-OPERATIVE SOCIETY LTD,"£12,130.95", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,140.30", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£4,665.75", 10/10/2018,Other Services,Childrens Services
PEARSON NURSERIES LTD T/AS ORCHARD HOUSE NURSERY,"£3,732.60", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£7,441.50", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£7,987.10", 10/10/2018,Other Services,Childrens Services
RIMU MUSIC EDUCATION SERVICES LTD,"£3,857.72", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£11,345.54", 10/10/2018,Other Services,Childrens Services
ROYAL ELTHAM PRE-SCHOOL,"£3,934.75", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,920.60", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£4,665.75", 10/10/2018,Other Services,Childrens Services
SHINING STARS DAY NURSERY,£933.15, 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,£520.20, 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£2,799.44", 10/10/2018,Other Services,Childrens Services
SMART COMMS LTD,"£1,399.72", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,£570.15, 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£12,130.95", 10/10/2018,Other Services,Childrens Services
BLACKHEATH DAY NURSERY,"£6,532.05", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,£570.15, 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,065.48", 10/10/2018,Other Services,Childrens Services
THE NURSERY ON THE GREEN,"£4,199.18", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,701.50", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,598.90", 10/10/2018,Other Services,Childrens Services
TINY WONDERS NURSERY,"£2,332.88", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£4,333.14", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£20,000.00", 10/10/2018,Other Services,Childrens Services
UNDER ONE ROOF (KIDS) LTD,"£16,330.12", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,483.63", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,841.80", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,376.50", 10/10/2018,Other Services,Childrens Services
ZIPPYS DAY NURSERY,"£1,866.30", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,140.30", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£14,034.82", 10/10/2018,Other Services,Childrens Services
ZOOM NURSERIES (ELTHAM) LIMITED,"£7,191.69", 10/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,£600.00, 11/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,278.70", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£12,085.71", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,985.00", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,491.10", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,300.00", 11/10/2018,Higher Education,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,004.80", 11/10/2018,Other Agency Services,Childrens Services
THE NATIONAL FOSTERING AGENCY LTD,£900.00, 11/10/2018,LC Independent Living,Childrens Services
THE NATIONAL FOSTERING AGENCY LTD,"£3,342.90", 11/10/2018,Agency Placements,Childrens Services
THE NATIONAL FOSTERING AGENCY LTD,"£3,407.10", 11/10/2018,Agency Placements,Childrens Services
THE NATIONAL FOSTERING AGENCY LTD,"£3,150.00", 11/10/2018,Agency Placements,Childrens Services
THE NATIONAL FOSTERING AGENCY LTD,"£3,342.90", 11/10/2018,Agency Placements,Childrens Services
THE NATIONAL FOSTERING AGENCY LTD,"£3,342.90", 11/10/2018,Agency Placements,Childrens Services
THE NATIONAL FOSTERING AGENCY LTD,"£3,192.60", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,593.24", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£18,000.00", 11/10/2018,Secure Accommodation,Childrens Services
KENT HOMEFINDING & FOSTERING LTD,"£3,041.10", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,458.27", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£4,345.20", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,£800.00, 11/10/2018,Private Home Help Domestic,Childrens Services
REDACTED PERSONAL INFORMATION,£500.00, 11/10/2018,Private Home Help Domestic,Childrens Services
REDACTED PERSONAL INFORMATION,£800.00, 11/10/2018,Private Home Help Domestic,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,933.15", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,272.24", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,447.98", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,272.24", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,447.98", 11/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,400.00", 12/10/2018,Services by External Providers,Childrens Services
CW EDUCATIONAL SERVICES LIMITED,"£2,700.00", 12/10/2018,Other Services,Childrens Services
HOME-START GREENWICH,"£301,002.47", 11/10/2018,C&F Commissioning Contract,Childrens Services
GREENWICH LEISURE LIMITED,"£36,866.26", 12/10/2018,C&F Commissioning Contract,Childrens Services
GREENWICH LEISURE LIMITED,"£37,997.86", 12/10/2018,C&F Commissioning Contract,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,061.08", 11/10/2018,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£621.12, 11/10/2018,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£517.60, 11/10/2018,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£724.64, 11/10/2018,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,£569.36, 11/10/2018,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"£2,472.17", 11/10/2018,Community Care Direct Payments,Childrens Services
REDACTED PERSONAL INFORMATION,"£2,213.30", 11/10/2018,Community Care Direct Payments,Childrens Services
UNDER ONE ROOF (KIDS) LTD,£605.76, 12/10/2018,Additional support for 3&4yr old withSEN,Childrens Services
GREENWICH LEISURE LIMITED,£826.20, 12/10/2018,Additional support for 3&4yr old withSEN,Childrens Services
BRIGHTSPARKS (ELTHAM) LTD T/A BRIGHTSPARKS DAY NUR,£640.00, 15/10/2018,Additional support for 3&4yr old withSEN,Childrens Services
BRIGHTSPARKS (ELTHAM) LTD T/A BRIGHTSPARKS DAY NUR,£840.00, 12/10/2018,Additional support for 3&4yr old withSEN,Childrens Services
HOME-START GREENWICH,"£7,291.36", 12/10/2018,Additional support for 3&4yr old withSEN,Childrens Services
GREENWICH SERVICE PLUS LIMITED,"£1,371.85", 12/10/2018,Cleaning Services - Contract,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,471.34", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,578.70", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,578.70", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,578.70", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,578.70", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,578.70", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£5,477.10", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£5,691.30", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,578.70", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£6,214.20", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£5,691.30", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,471.34", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,471.34", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£5,691.30", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,578.70", 12/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,433.35", 12/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,850.60", 12/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£21,600.00", 12/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£20,031.48", 12/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,040.00", 12/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,£502.32, 12/10/2018,Private Home Help Domestic,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,000.00", 12/10/2018,Private Home Help Domestic,Childrens Services
MONDALE ESTATES LTD,"£1,458.59", 12/10/2018,Agency Placements,Childrens Services
MONDALE ESTATES LTD,£600.00, 12/10/2018,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,123.20", 15/10/2018,Services by External Providers,Childrens Services
ROYAL MAIL GROUP LTD,£251.77, 15/10/2018,Postage - Royal Mail,Childrens Services
REDACTED PERSONAL INFORMATION,£933.15, 15/10/2018,Supply/Sessional Normal TIme,Childrens Services
ANTHONY HURREN PHOTOGRAPHY,£650.00, 16/10/2018,Conference Expenses,Childrens Services
FLEET TUTORS,£950.40, 15/10/2018,Children Looked After - Tuition,Childrens Services
FLEET TUTORS,£686.40, 15/10/2018,Children Looked After - Tuition,Childrens Services
REDACTED PERSONAL INFORMATION,"£10,609.00", 15/10/2018,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,£970.39, 15/10/2018,Other Services,Childrens Services
ORCHARD HILL COLLEGE,"£1,320.00", 15/10/2018,MIsc,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,737.50", 15/10/2018,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,737.50", 15/10/2018,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,737.50", 15/10/2018,Services Other Local Author,Childrens Services
LEARN SOLUTIONS LTD T/A TLC EDUCATION GRP TLC LIVE,£820.80, 15/10/2018,Children Looked After - Tuition,Childrens Services
REDACTED PERSONAL INFORMATION,"£5,061.81", 15/10/2018,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,737.50", 15/10/2018,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,737.50", 15/10/2018,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"£6,737.50", 15/10/2018,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"£1,280.00", 15/10/2018,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"£3,314.00", 15/10/2018,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,£560.60, 15/10/2018,Services Other Local Author,Childrens Services
BALTIMORE CONSULTING LTD,"£1,560.00", 15/10/2018,Agency Staff,Childrens Services
BALTIMORE CONSULTING LTD,"£1,560.00", 17/10/2018,Agency Staff,Childrens Services
PANTILE TROPHIES,£654.93, 15/10/2018,Conference Expenses,Childrens Services
ROYAL MAIL GROUP LTD,£133.04, 15/10/2018,Postage - Royal Mail,Childrens Services
WINCHMORE TUTORS LTD,£912.00, 15/10/2018,MIsc,Childrens Services
REDACTED PERSONAL INFORMATION,£812.58, 15/10/2018,Agency Staff,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£3,469.88", 15/10/2018,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"£5,100.90", 15/10/2018,Agency Placements,Childrens Services
NEXT STEP CARE MANAGEMENT LTD,"£2,417.15", 15/10/2018,Agency Placements,Childrens Services
MONDALE ESTATES LTD,£887.84, 15/10/2018,Asylum Immigration,Childrens Services
MONDALE ESTATES LTD,£887.84, 15/10/2018,Asylum Immigration,Childrens Services
MONDALE ESTATES LTD,£887.84, 15/10/2018,Asylum Immigration,Childrens Services
MONDALE ESTATES LTD,"£1,640.00", 15/10/2018,LC Independent Living,Childrens Services
MONDALE ESTATES LTD,£887.84, 15/10/2018,Asylum Immigration,Childrens Services
MONDALE ESTATES LTD,£887.84, 15/10/2018,LC Independent Living,Childrens Services
MONDALE ESTATES LTD,£887.84, 15/10/2018,Asylum Immigration,Childrens Services
